,period,stateid,stateDescription,sectorid,sectorName,price,price-units
0,2020-05,CO,Colorado,RES,residential,11.93,cents per kilowatthour
1,2020-06,AL,Alabama,RES,residential,12.84,cents per kilowatthour
2,2020-03,ENC,East North Central,RES,residential,13.48,cents per kilowatthour
3,2020-04,CT,Connecticut,RES,residential,23.79,cents per kilowatthour
4,2020-04,DE,Delaware,RES,residential,12.85,cents per kilowatthour
5,2020-04,DC,District of Columbia,RES,residential,12.41,cents per kilowatthour
6,2020-04,FL,Florida,RES,residential,11.44,cents per kilowatthour
7,2020-05,AK,Alaska,RES,residential,22.87,cents per kilowatthour
8,2020-05,AZ,Arizona,RES,residential,12.86,cents per kilowatthour
9,2020-06,TX,Texas,RES,residential,11.76,cents per kilowatthour
10,2020-06,UT,Utah,RES,residential,10.67,cents per kilowatthour
11,2020-06,VT,Vermont,RES,residential,19.72,cents per kilowatthour
12,2020-06,VA,Virginia,RES,residential,12.31,cents per kilowatthour
13,2021-03,DC,District of Columbia,RES,residential,12.88,cents per kilowatthour
14,2020-04,MD,Maryland,RES,residential,13.2,cents per kilowatthour
15,2020-04,MA,Massachusetts,RES,residential,23.15,cents per kilowatthour
16,2020-04,MI,Michigan,RES,residential,16.0,cents per kilowatthour
17,2020-04,MN,Minnesota,RES,residential,12.91,cents per kilowatthour
18,2020-05,CT,Connecticut,RES,residential,24.21,cents per kilowatthour
19,2020-05,DE,Delaware,RES,residential,13.42,cents per kilowatthour
20,2020-06,MTN,Mountain,RES,residential,12.13,cents per kilowatthour
21,2020-06,PACC,Pacific Contiguous,RES,residential,16.73,cents per kilowatthour
22,2020-04,IL,Illinois,RES,residential,13.96,cents per kilowatthour
23,2020-04,IN,Indiana,RES,residential,12.89,cents per kilowatthour
24,2020-04,IA,Iowa,RES,residential,12.16,cents per kilowatthour
25,2020-04,KS,Kansas,RES,residential,13.28,cents per kilowatthour
26,2020-04,KY,Kentucky,RES,residential,11.17,cents per kilowatthour
27,2020-04,LA,Louisiana,RES,residential,9.43,cents per kilowatthour
28,2020-04,ME,Maine,RES,residential,16.81,cents per kilowatthour
29,2020-05,AR,Arkansas,RES,residential,10.5,cents per kilowatthour
30,2020-05,CA,California,RES,residential,18.61,cents per kilowatthour
31,2020-06,RI,Rhode Island,RES,residential,19.28,cents per kilowatthour
32,2020-06,SC,South Carolina,RES,residential,12.82,cents per kilowatthour
33,2020-06,SD,South Dakota,RES,residential,12.11,cents per kilowatthour
34,2020-06,TN,Tennessee,RES,residential,10.88,cents per kilowatthour
35,2020-07,PA,Pennsylvania,RES,residential,13.32,cents per kilowatthour
36,2020-07,RI,Rhode Island,RES,residential,19.52,cents per kilowatthour
37,2020-07,SC,South Carolina,RES,residential,12.59,cents per kilowatthour
38,2020-07,SD,South Dakota,RES,residential,12.26,cents per kilowatthour
39,2020-08,ME,Maine,RES,residential,16.83,cents per kilowatthour
40,2020-08,MD,Maryland,RES,residential,12.47,cents per kilowatthour
41,2020-03,MA,Massachusetts,RES,residential,22.73,cents per kilowatthour
42,2020-03,MI,Michigan,RES,residential,15.9,cents per kilowatthour
43,2020-03,MN,Minnesota,RES,residential,12.57,cents per kilowatthour
44,2020-03,MS,Mississippi,RES,residential,11.46,cents per kilowatthour
45,2020-03,MO,Missouri,RES,residential,10.31,cents per kilowatthour
46,2020-04,GA,Georgia,RES,residential,11.57,cents per kilowatthour
47,2020-04,HI,Hawaii,RES,residential,32.75,cents per kilowatthour
48,2020-07,NEW,New England,RES,residential,20.71,cents per kilowatthour
49,2020-07,MAT,Middle Atlantic,RES,residential,16.18,cents per kilowatthour
50,2020-03,IA,Iowa,RES,residential,11.81,cents per kilowatthour
51,2020-03,KS,Kansas,RES,residential,12.9,cents per kilowatthour
52,2020-10,MTN,Mountain,RES,residential,11.8,cents per kilowatthour
53,2020-10,PACC,Pacific Contiguous,RES,residential,17.66,cents per kilowatthour
